date,CPS00000,CPS01000,CPS02000,CPS03000,CPS04000,CPS05000,CPS06000,CPS07000,CPS08000,CPS09000,CPS10000,CPS11000,CPS12000
2008-01-31,48.6,42.9,41.1,65.7,46.1,68.3,45.2,52.5,105.4,68.6,35.8,46.4,41.3
2008-02-29,49.0,42.9,41.6,65.9,46.1,68.1,47.4,52.6,105.3,68.6,35.8,46.7,42.5
2008-03-31,49.7,43.5,43.4,66.1,46.8,68.5,47.4,53.6,105.2,68.6,38.3,47.6,42.7
2008-04-30,49.9,44.1,43.7,66.1,46.9,68.9,47.4,54.3,104.8,69.3,38.3,47.9,42.9
2008-05-31,50.3,44.9,43.8,66.3,47.0,69.0,47.8,54.9,104.9,70.4,38.3,48.4,42.9
2008-06-30,51.0,45.6,43.8,66.6,47.8,69.7,47.9,56.7,104.9,70.4,38.3,48.9,42.9
2008-07-31,51.7,46.3,43.9,66.7,48.9,69.8,48.1,57.9,104.8,70.6,38.3,49.8,43.3
2008-08-31,52.0,46.9,44.6,67.1,49.3,70.2,48.2,57.3,106.1,72.0,38.3,50.1,43.5
2008-09-30,52.3,47.6,45.0,67.3,49.7,70.8,48.2,56.9,105.9,72.2,38.3,50.3,44.0
2008-10-31,52.3,47.9,45.2,67.4,49.8,71.0,48.2,56.7,105.9,72.6,38.3,51.5,44.4
2008-11-30,52.4,48.3,45.3,67.4,49.8,71.1,48.6,56.0,105.8,74.4,38.3,51.8,44.4
2008-12-31,52.3,48.6,45.3,67.7,50.2,71.5,48.6,54.1,105.9,73.7,38.3,52.3,44.5
2009-01-31,52.6,49.6,45.3,68.3,50.3,72.3,48.7,52.5,106.1,74.5,38.3,52.5,45.8
2009-02-28,53.1,49.6,45.8,68.9,50.3,72.8,51.7,53.4,106.0,75.3,38.3,53.0,47.4
2009-03-31,53.9,49.9,48.0,69.3,50.6,73.5,52.9,54.0,105.9,78.8,42.3,54.0,47.7
2009-04-30,54.1,50.1,48.4,69.6,50.7,73.6,53.2,54.9,105.8,79.8,42.3,54.3,47.9
2009-05-31,54.3,50.4,48.4,69.6,50.7,73.9,53.3,55.2,105.8,80.2,42.3,54.6,48.0
2009-06-30,54.6,50.3,48.4,69.8,51.2,74.6,53.3,55.5,105.5,79.8,42.3,54.9,48.0
2009-07-31,55.2,50.1,49.0,70.2,52.9,74.4,53.3,55.9,105.4,80.4,42.3,55.0,48.9
2009-08-31,55.2,50.1,50.2,70.6,53.1,74.5,53.5,55.8,107.5,80.5,42.3,55.0,48.9
2009-09-30,55.6,50.1,50.4,70.6,53.5,74.6,53.6,56.2,106.9,80.4,42.3,55.3,49.1
2009-10-31,55.6,50.5,50.4,70.7,53.5,74.4,53.6,55.6,106.4,80.4,42.3,55.6,49.2
2009-11-30,55.6,50.5,50.4,70.9,53.5,74.1,53.6,55.6,106.2,80.4,42.3,55.7,49.2
2009-12-31,55.6,50.4,50.4,71.0,53.8,74.1,53.6,56.0,106.1,80.5,42.3,56.3,49.2
2010-01-31,55.8,50.8,50.5,71.0,53.9,74.1,53.6,55.8,106.0,80.5,42.3,56.9,49.9
2010-02-28,56.2,50.6,50.5,71.0,53.9,74.0,56.3,56.1,105.9,79.9,42.3,57.1,51.7
2010-03-31,56.6,50.5,53.4,71.1,54.2,74.2,56.7,56.4,104.9,80.6,46.3,57.9,52.0
2010-04-30,56.7,50.6,53.6,71.2,54.2,74.0,56.7,57.0,104.7,79.2,46.3,58.0,52.0
2010-05-31,56.8,50.8,53.8,71.3,54.3,73.8,56.7,57.2,104.5,79.2,46.3,58.3,52.0
2010-06-30,56.8,50.6,53.6,71.3,54.7,74.3,57.1,56.7,104.3,78.8,46.3,60.8,51.5
2010-07-31,57.2,50.8,53.7,71.3,56.3,74.3,57.4,56.5,104.1,78.5,46.3,58.5,51.7
2010-08-31,57.2,51.0,53.8,71.3,56.5,74.1,57.4,56.4,104.3,78.9,46.3,58.5,51.7
2010-09-30,57.2,50.8,54.0,71.3,56.9,74.4,57.4,56.2,104.1,78.7,46.3,58.9,51.5
